OverallQual,GrLivArea,GarageCars,TotalBsmtSF,1stFlrSF,FullBath,YearsBeforeSold,ExterQual_TA,BsmtQual_Ex,KitchenQual_TA,GarageFinish_Unf,KitchenQual_Ex,SalePrice
7,1710,2,856,856,2,5,0,0,0,0,0,208500
6,1262,2,1262,1262,2,31,1,0,1,0,0,181500
7,1786,2,920,920,2,6,0,0,0,0,0,223500
7,1717,3,756,961,1,36,1,0,0,1,0,140000
8,2198,3,1145,1145,2,8,0,0,0,0,0,250000
5,1362,2,796,796,1,14,1,0,1,1,0,143000
8,1694,2,1686,1694,2,2,0,1,0,0,0,307000
7,2090,2,1107,1107,2,36,1,0,1,0,0,200000
7,1774,2,952,1022,2,58,1,0,1,1,0,129900
5,1077,1,991,1077,1,58,1,0,1,0,0,118000
5,1040,1,1040,1040,1,43,1,0,1,1,0,129500
9,2324,3,1175,1182,3,0,0,1,0,0,1,345000
5,912,1,912,912,1,46,1,0,1,1,0,144000
7,1494,3,1494,1494,2,0,0,0,0,0,0,279500
6,1253,1,1253,1253,1,48,1,0,1,0,0,157000
7,854,2,832,854,1,6,1,0,1,1,0,132000
6,1004,2,1004,1004,1,40,1,0,1,0,0,149000
4,1296,2,0,1296,2,39,1,0,1,1,0,90000
5,1114,2,1114,1114,1,4,1,0,0,1,0,159000
5,1339,1,1029,1339,1,44,1,0,1,1,0,139000
8,2376,3,1158,1158,3,0,0,1,0,0,0,325300
7,1108,1,637,1108,1,57,1,0,0,1,0,139400
8,1795,2,1777,1795,2,6,0,0,0,0,0,230000
5,1060,2,1040,1060,1,31,1,0,1,1,0,129900
5,1060,1,1060,1060,1,9,1,0,0,1,0,154000
8,1600,3,1566,1600,2,2,0,0,0,0,0,256300
5,900,2,900,900,1,10,1,0,0,1,0,134800
8,1704,3,1704,1704,2,2,0,1,0,0,0,306000
5,1600,1,1484,1600,1,9,1,0,1,0,0,207500
4,520,1,520,520,1,58,1,0,0,1,0,68500
4,1317,1,649,649,1,58,1,0,1,1,0,40000
5,1228,1,1228,1228,1,2,1,0,0,1,0,149350
8,1234,2,1234,1234,2,1,0,1,0,0,0,179900
5,1700,2,1398,1700,1,51,1,0,0,0,0,165500
9,1561,2,1561,1561,2,2,0,1,0,0,1,277500
8,2452,3,1117,1132,3,1,0,1,0,0,0,309000
5,1097,2,1097,1097,1,14,1,0,1,1,0,145000
5,1297,2,1297,1297,1,19,1,0,1,0,0,153000
5,1057,1,1057,1057,1,3,1,0,0,1,0,109000
4,1152,0,0,1152,2,53,1,0,0,1,0,82000
6,1324,2,1088,1324,2,41,1,0,1,0,0,160000
5,1328,1,1350,1328,1,48,1,0,1,0,0,170000
5,884,2,840,884,1,24,1,0,0,0,0,144000
5,938,1,938,938,1,28,1,0,1,1,0,130250
5,1150,1,1150,1150,1,47,1,0,1,0,0,141000
9,1752,2,1752,1752,2,5,0,1,0,0,1,319900
7,2149,2,1434,1518,1,6,0,1,0,0,0,239686
8,1656,3,1656,1656,2,1,0,0,0,0,0,249700
4,1452,0,736,736,2,1,1,0,1,1,0,113000
5,955,1,955,955,1,41,1,0,1,1,0,127000
6,1470,2,794,794,2,10,1,0,1,0,0,177000
6,1176,2,816,816,1,56,1,0,1,1,0,114500
5,816,2,816,816,1,47,0,0,1,1,0,110000
9,1842,3,1842,1842,0,19,0,1,0,0,0,385000
5,1360,2,384,1360,1,52,1,0,1,1,0,130000
6,1425,2,1425,1425,2,44,1,0,1,0,0,180500
8,1739,2,970,983,2,9,0,0,0,0,0,172500
7,1720,2,860,860,2,2,0,0,0,0,0,196500
10,2945,3,1410,1426,3,0,0,1,0,0,0,438780
5,780,1,780,780,1,36,1,0,1,1,0,124900
6,1158,2,1158,1158,1,2,1,0,0,1,0,158000
5,1111,1,530,581,1,11,1,0,0,1,0,101000
8,1370,2,1370,1370,2,1,0,0,0,0,0,202500
7,1710,2,576,902,2,60,1,0,1,1,0,140000
7,2034,2,1057,1057,2,11,1,0,0,0,0,219500
8,2473,3,1143,1143,2,2,0,1,0,0,0,317000
7,2207,2,1947,2207,2,21,1,0,1,0,0,180000
7,1479,2,1453,1479,2,4,0,0,0,0,0,226000
4,747,1,747,747,1,60,1,0,1,1,0,80000
7,2287,2,1304,1304,2,53,0,0,1,0,0,225000
7,2223,2,2223,2223,2,34,1,0,1,0,0,244000
4,845,2,845,845,1,1,1,0,1,1,0,129500
7,1718,2,832,885,2,11,1,0,1,0,0,185000
5,1086,2,1086,1086,1,7,1,0,1,1,0,144900
3,1605,1,840,840,2,60,0,0,1,1,0,107400
4,988,1,462,526,1,36,1,0,1,1,0,91000
4,952,1,952,952,1,52,1,0,1,1,0,135750
5,1285,1,672,1072,1,7,1,0,1,1,0,127000
4,1768,0,1768,1768,2,42,1,0,1,1,0,136500
5,1230,2,440,682,1,28,1,0,1,1,0,110000
6,2142,1,896,1182,2,41,1,0,0,0,0,193500
6,1337,2,1237,1337,2,8,1,1,1,0,0,153500
8,1563,3,1563,1563,2,1,1,0,0,0,0,245000
5,1065,2,1065,1065,1,47,1,0,1,1,0,126500
7,1474,2,384,804,2,13,1,0,1,0,0,168500
8,2417,2,1288,1301,2,14,0,0,0,1,0,260000
6,1560,2,684,684,2,4,0,0,0,0,0,174000
6,1224,2,612,612,2,0,0,0,0,0,0,164500
3,1526,0,1013,1013,1,27,0,0,0,1,0,85000
4,990,0,990,990,1,12,1,0,1,1,0,123600
4,1040,2,0,1040,1,56,1,0,1,1,0,109900
5,1235,2,1235,1235,1,45,1,0,1,1,0,98600
5,964,2,876,964,1,3,1,0,1,1,0,163500
6,2291,2,1214,1260,2,9,1,0,1,1,0,133900
6,1786,2,824,905,2,10,1,0,0,0,0,204750
6,1470,2,680,680,2,16,0,0,1,0,0,185000
7,1588,2,1588,1588,2,7,0,0,0,0,0,214000
4,960,1,960,960,1,42,1,0,1,0,0,94750
5,835,1,458,835,1,60,1,0,1,1,0,83000
4,1225,0,950,1225,1,51,1,0,1,1,0,128950
6,1610,2,1610,1610,2,9,1,0,0,0,0,205000
6,1732,2,741,977,2,25,0,0,0,0,0,178000
5,1535,2,0,1535,2,30,1,0,1,1,0,118964
7,1226,3,1226,1226,2,1,1,0,0,0,0,198900
7,1818,1,1040,1226,1,57,1,0,1,1,0,169500
8,1992,2,1053,1053,2,4,0,1,0,0,0,250000
4,1047,1,641,1047,1,12,1,0,1,1,0,100000
5,789,1,789,789,1,58,1,0,1,1,0,115000
5,1517,0,793,997,2,2,1,0,0,1,0,115000
6,1844,2,1844,1844,2,33,1,0,1,0,0,190000
6,1855,1,994,1216,2,34,1,0,1,1,0,136900
7,1430,2,384,774,2,10,1,0,1,0,0,180000
7,2696,3,1264,1282,2,0,0,1,0,0,1,383970
6,2259,2,1809,2259,2,54,1,0,0,1,0,217000
6,2320,1,1028,1436,2,5,1,0,0,1,0,259500
6,1458,2,729,729,2,8,1,0,1,1,0,176000
5,1092,1,1092,1092,1,47,1,0,1,1,0,139000
5,1125,2,1125,1125,1,0,1,0,1,1,0,155000
7,3222,3,1673,1699,3,20,1,0,0,1,0,320000
6,1456,2,728,728,2,0,0,0,0,0,0,163990
6,988,2,938,988,1,37,1,0,1,1,0,180000
4,1123,1,732,772,1,57,1,0,1,1,0,100000
6,1080,1,1080,1080,1,50,1,0,1,1,0,136000
6,1199,2,1199,1199,2,15,0,0,0,0,0,153900
6,1586,2,1362,1586,2,11,1,0,1,1,0,181000
6,754,0,520,520,1,24,1,0,1,1,0,84500
6,958,2,1078,958,2,31,1,0,1,0,0,128000
5,840,0,672,840,1,57,1,0,1,1,0,87000
6,1348,2,660,660,1,40,1,0,1,0,0,155000
5,1053,2,1008,1053,1,15,1,0,0,0,1,150000
7,2157,2,924,1216,2,40,1,0,0,0,0,226000
6,2054,2,992,1022,2,9,0,0,0,0,0,244000
5,1327,2,1063,1327,1,5,1,0,0,1,0,150750
8,1296,2,1267,1296,2,7,0,1,0,0,0,220000
5,1721,2,1461,1721,2,13,1,0,1,0,0,180000
7,1682,2,1304,1682,2,38,1,0,1,1,0,174000
5,1214,1,1214,1214,2,40,1,0,1,0,0,143000
7,1959,3,1907,1959,3,17,1,0,1,1,0,171000
8,1852,3,1004,1004,2,8,0,0,0,0,0,230000
6,1764,2,928,928,2,12,1,0,0,0,0,231500
4,864,0,864,864,1,39,1,0,1,1,0,115000
7,1734,2,1734,1734,2,1,0,0,0,0,0,260000
5,1385,2,910,910,2,58,1,0,1,1,0,166000
7,1501,2,1490,1501,2,10,0,0,0,0,0,204000
5,1728,2,1728,1728,2,43,1,0,1,1,0,125000
6,1709,2,970,970,2,0,0,0,0,1,0,130000
5,875,1,715,875,1,16,1,0,1,1,0,105000
7,2035,2,884,884,2,9,0,0,0,0,0,222500
7,1080,0,1080,1080,1,3,1,0,0,1,0,141000
5,1344,1,896,896,1,56,1,0,1,1,0,115000
5,969,2,969,969,1,32,1,0,1,1,0,122000
8,1710,3,1710,1710,2,0,0,1,0,0,0,372402
6,1993,2,825,1097,2,35,1,0,1,0,0,190000
6,1252,2,1602,1252,1,33,1,0,1,0,0,235000
6,1200,1,1200,1200,1,56,1,0,1,1,0,125000
6,1096,0,572,572,1,58,1,0,1,1,0,79000
5,1040,2,0,1040,1,56,1,0,1,1,0,109500
8,1968,3,774,774,2,0,0,1,0,0,1,269500
7,1947,2,991,991,2,5,0,0,0,0,0,254900
7,2462,2,1392,1392,2,0,0,0,0,0,0,320000
6,1232,2,1232,1232,2,24,1,0,1,1,0,162500
9,2668,3,1572,1572,2,4,0,1,0,0,1,412500
7,1541,2,1541,1541,2,5,0,0,0,0,0,220000
4,882,0,882,882,1,51,1,0,1,1,0,103200
6,1616,1,1149,1149,2,3,1,0,0,1,0,152000
5,1355,0,644,808,2,9,1,0,1,1,0,127500
5,1867,1,1617,1867,1,16,0,0,1,0,0,190000
8,2161,3,1582,1610,1,0,0,1,0,0,1,325624
7,1720,2,840,840,2,3,0,0,0,0,0,183500
8,1707,2,1686,1707,2,25,0,0,1,0,0,228000
5,1382,2,720,854,1,57,1,0,1,1,0,128500
6,1656,2,1080,1656,1,50,1,0,1,0,0,215000
7,1767,2,1064,1064,2,19,0,0,0,0,0,239000
6,1362,2,1362,1362,1,47,1,0,1,1,0,163000
6,1651,2,1606,1651,2,22,1,0,1,0,0,184000
6,2158,2,1202,2158,2,6,1,0,0,1,0,243000
6,2060,2,1151,1164,2,18,0,0,1,1,0,211000
5,1920,2,1052,1252,2,48,0,0,0,1,0,172500
9,2234,3,2216,2234,2,0,0,1,0,0,1,501837
5,968,2,968,968,1,1,0,0,1,1,0,100000
6,1525,2,756,769,2,7,0,0,0,1,0,177000
7,1802,1,793,901,1,56,1,0,1,1,0,200100
5,1340,1,0,1340,1,1,1,0,1,0,0,120000
7,2082,2,1362,1362,2,5,1,0,0,1,0,200000
5,1252,2,504,936,1,15,1,0,1,1,0,127000
10,3608,3,1107,1518,2,13,0,0,0,1,1,475000
7,1217,2,1188,1217,2,18,1,0,0,1,0,173000
5,1656,1,660,808,2,22,1,0,1,1,0,135000
5,1224,2,1086,1224,0,30,1,0,1,1,0,153337
8,1593,2,1593,1593,1,6,0,1,0,0,1,286000
8,2727,2,853,1549,2,13,0,0,0,1,0,315000
7,1479,2,725,725,1,3,1,0,0,0,0,184000
7,1431,2,1431,1431,2,10,0,0,0,0,0,192000
7,1709,2,970,970,2,2,0,0,0,1,0,130000
5,864,1,864,864,1,36,1,0,1,1,0,127000
6,1456,2,855,855,2,33,1,0,1,1,0,148500
7,1726,3,1726,1726,2,0,0,1,0,0,1,311872
8,3112,2,1360,1360,2,16,0,0,0,1,0,235000
6,2229,0,755,929,1,59,1,0,1,1,0,104000
8,1713,3,1713,1713,2,4,0,1,0,0,1,274900
4,1121,2,1121,1121,2,6,1,0,1,0,0,140000
6,1279,2,1196,1279,2,31,1,0,1,1,0,171500
6,1310,1,617,865,2,56,1,0,1,1,0,112000
6,848,2,848,848,1,4,0,0,0,0,0,149000
5,1284,1,720,720,1,59,1,0,1,1,0,110000
7,1442,2,1424,1442,2,19,1,0,1,0,0,180500
5,1696,1,1140,1696,1,45,1,0,1,0,0,143900
4,1100,1,1100,1100,1,48,1,0,1,0,0,141000
7,2062,2,1157,1180,2,18,0,0,1,0,0,277000
6,1092,2,1092,1092,1,44,1,0,1,0,0,145000
5,864,0,864,864,1,58,1,0,1,1,0,98000
6,1212,2,1212,1212,2,1,1,0,0,0,0,186000
7,1852,2,900,932,2,0,1,0,0,0,0,252678
5,990,2,990,990,1,11,1,0,1,1,0,156000
6,1392,1,689,689,1,33,1,0,1,0,0,161750
5,1236,1,1070,1236,1,10,1,0,0,1,0,134450
7,1436,2,1436,1436,2,4,0,0,0,1,0,210000
4,1328,1,686,810,1,56,1,0,1,1,0,107000
7,1954,2,798,1137,1,2,0,0,0,1,0,311500
7,1248,2,1248,1248,2,0,0,0,0,0,0,167240
7,1498,2,1498,1498,2,0,0,0,0,0,0,204900
6,2267,2,1010,1010,2,7,0,0,0,0,0,200000
6,1552,2,713,811,2,31,1,0,1,0,0,179900
4,864,2,864,864,1,38,1,0,1,1,0,97000
10,2392,3,2392,2392,2,6,0,1,0,0,1,386250
5,1302,1,630,630,2,38,1,0,1,1,0,112000
7,2520,3,1203,1214,2,12,0,0,0,0,0,290000
6,987,1,483,483,1,38,1,0,1,1,0,106000
5,912,1,912,912,1,43,1,0,1,1,0,125000
7,1555,2,1373,1555,2,3,0,0,0,0,0,192500
6,1194,1,1194,1194,1,51,1,0,1,0,0,148000
8,2794,3,1462,1490,2,13,0,0,0,0,1,403000
6,987,1,483,483,1,34,1,0,1,1,0,94500
5,894,1,894,894,1,34,1,0,1,1,0,128200
6,1960,2,860,860,2,8,0,0,0,0,0,216500
6,987,1,483,483,1,37,1,0,1,1,0,89500
7,1414,2,1414,1414,2,6,0,0,0,0,0,185500
7,1744,2,996,1014,2,7,0,0,0,0,0,194500
8,1694,3,1694,1694,2,0,0,1,0,0,0,318000
6,1487,1,735,798,1,60,1,0,1,1,0,113000
8,1566,2,1566,1566,2,2,0,0,0,0,0,262500
5,866,0,686,866,1,10,1,0,0,1,0,110500
5,1440,1,540,889,1,56,1,0,1,1,0,79000
6,1217,1,626,626,1,29,1,0,1,0,0,120000
7,2110,2,948,1222,2,8,0,0,0,0,0,205000
7,1872,2,1845,1872,2,18,1,0,1,0,0,241500
6,1928,1,1020,908,2,56,1,0,0,1,0,137000
6,1375,2,1367,1375,1,52,1,0,1,1,0,140000
7,1668,2,840,840,2,4,0,0,0,0,0,180000
6,2144,2,1444,1444,2,1,0,0,0,0,0,277000
3,1306,0,728,1306,1,44,1,0,0,1,0,76500
8,1625,2,1573,1625,2,0,0,0,0,0,0,235000
6,1640,2,798,798,2,4,0,0,0,0,0,173000
6,1302,1,1302,1302,2,16,1,0,0,0,0,158000
5,1314,1,1314,1314,1,53,1,0,1,0,0,145000
7,2291,2,975,1005,2,7,0,0,0,0,0,230000
6,1728,2,864,864,2,5,0,0,0,0,0,207500
7,1604,2,1604,1604,2,3,0,0,0,0,0,220000
7,1792,2,963,963,2,7,0,0,0,0,0,231500
5,882,1,0,882,1,52,1,0,1,1,0,97000
6,1382,2,1362,1382,1,47,1,0,1,1,0,176000
8,2574,3,1482,1482,2,0,0,1,0,0,1,276000
6,1212,2,506,1212,1,11,1,0,1,1,0,151000
5,1316,2,926,926,1,9,1,0,1,1,0,130000
5,764,2,680,764,1,4,1,0,1,1,0,73000
6,1422,2,1422,1422,2,27,1,0,0,0,0,175500
6,1511,2,802,802,2,9,1,0,1,0,0,185000
5,2192,1,720,1052,2,11,1,0,0,1,0,179500
5,778,1,740,778,1,53,1,0,1,0,0,120500
6,1113,1,1143,1113,1,31,1,0,1,0,0,148000
8,1939,3,1095,1095,2,0,0,0,0,0,0,266000
7,1363,2,1385,1363,1,3,1,0,1,1,0,241500
8,2270,3,1152,1164,2,3,0,0,0,0,0,290000
6,1632,1,1240,1632,2,21,1,0,1,0,0,139000
5,816,1,816,816,1,25,1,0,1,1,0,124500
7,1548,2,952,952,2,2,0,0,0,1,1,205000
7,1560,2,1560,1560,2,7,0,1,0,0,0,201000
4,864,2,864,864,1,59,1,0,1,1,0,141000
9,2121,3,2121,2121,2,0,0,1,0,0,1,415298
7,2022,2,1160,1156,2,31,1,0,1,0,0,192000
7,1982,2,807,1175,2,18,0,0,0,0,0,228500
6,1262,2,1262,1262,2,0,0,0,0,0,0,185000
7,1314,2,1314,1314,2,1,0,0,0,0,0,207500
8,1468,3,1468,1468,2,0,0,0,0,0,0,244600
6,1575,2,1575,1575,2,15,0,0,0,0,0,179200
7,1250,2,625,625,2,0,0,0,0,0,0,164700
6,1734,2,912,1085,1,25,1,0,0,0,0,159000
4,858,0,858,858,1,35,1,0,1,1,0,88000
5,900,1,882,900,1,43,1,0,1,1,0,122000
6,1396,1,698,698,1,4,1,0,1,1,0,153575
8,1919,2,1079,1079,2,0,0,0,0,0,0,233230
5,1716,0,780,936,2,8,1,0,0,1,0,135900
5,1716,1,768,1148,1,1,1,0,1,1,0,131000
7,2263,2,795,1468,2,12,1,0,0,0,0,235000
6,1644,2,1416,1644,1,56,1,0,1,0,0,167000
6,1003,2,1003,1003,1,22,1,0,1,1,0,142500
5,1558,1,910,910,1,57,1,0,1,1,0,152000
7,1950,2,975,975,2,9,0,0,0,0,0,239000
6,1743,2,702,1041,1,39,0,0,1,1,0,175000
6,1152,1,1092,1152,1,5,1,0,0,1,0,158500
5,1336,1,1165,1336,1,53,1,0,1,1,0,157000
8,2452,2,1028,1210,2,8,0,0,0,0,0,267000
7,1541,3,1541,1541,2,4,0,0,0,0,0,205000
5,894,2,894,894,1,34,1,0,1,1,0,149900
7,3493,3,1470,1675,3,6,1,0,0,1,0,295000
8,2000,3,2000,2000,2,2,0,0,0,0,0,305900
7,2243,3,700,1122,2,16,0,0,0,0,0,225000
6,1406,0,319,1035,1,58,1,0,0,1,0,89500
4,861,2,861,861,1,59,1,0,1,1,0,82500
9,1944,3,1896,1944,2,2,0,1,0,0,1,360000
6,1501,2,697,697,2,12,1,0,0,0,0,165600
6,972,1,972,972,1,7,1,0,1,1,0,132000
5,1118,2,793,793,1,56,1,0,1,1,0,119900
7,2036,2,2136,2036,2,44,1,0,1,0,0,375000
7,1641,2,728,832,1,16,1,0,0,1,1,178000
7,1432,2,716,716,2,4,0,0,0,0,0,188500
7,2353,2,845,1153,2,29,0,0,0,0,1,260000
8,1959,3,1088,1088,2,1,0,0,0,0,0,270000
7,2646,3,1347,1372,2,16,0,0,0,0,0,260000
7,1472,2,1372,1472,2,29,1,0,1,1,0,187500
9,2596,3,1249,1249,3,0,1,1,0,0,0,342643
8,2468,3,1136,1136,2,3,0,1,0,0,0,354000
7,2730,2,1502,1553,2,20,0,0,0,0,0,301000
3,1163,1,1162,1163,1,1,1,0,1,1,0,126175
7,2978,2,710,1898,2,3,0,0,0,0,0,242000
5,803,2,720,803,1,57,1,0,1,1,0,87000
8,1719,2,1719,1719,1,15,0,0,0,0,0,324000
6,1383,1,1383,1383,1,46,1,0,1,0,0,145250
6,2134,2,844,1445,2,15,1,0,0,1,0,214500
5,1192,1,596,596,1,59,1,0,1,1,0,78000
5,1728,1,1728,1728,2,43,1,0,1,1,0,119000
5,1056,1,1056,1056,1,15,1,0,1,0,0,139000
8,1629,3,3206,1629,2,5,0,0,0,0,0,284000
7,1358,2,1358,1358,2,4,0,0,0,0,0,207000
6,1638,2,943,943,2,10,1,0,1,0,0,192000
5,1786,2,1499,1619,2,43,1,0,1,0,0,228950
9,1922,3,1922,1922,2,1,0,1,0,0,0,377426
7,1536,2,1536,1536,2,5,0,0,0,0,0,214000
7,1621,2,1208,1621,2,8,0,0,0,0,0,202500
6,1215,1,1215,1215,1,11,1,0,1,1,0,155000
8,1908,2,967,993,2,8,0,0,0,0,0,202900
4,841,1,721,841,1,59,0,0,1,1,0,82000
3,1040,2,0,1040,2,56,1,0,1,1,0,87500
9,1684,2,1684,1684,2,3,0,1,0,0,1,266000
5,1112,1,536,536,1,34,1,0,1,1,0,85000
6,1577,1,972,972,1,56,1,0,0,1,0,140200
6,958,1,958,958,1,9,1,0,1,0,0,151500
6,1478,2,1478,1478,2,49,1,0,1,1,0,157500
7,1626,2,764,764,2,4,0,0,0,0,0,154000
9,2728,3,1848,1848,2,0,0,1,0,0,1,437154
9,1869,2,1869,1869,2,0,0,1,0,0,1,318061
7,1453,2,1453,1453,1,20,1,0,0,0,0,190000
5,1111,1,616,616,1,58,1,0,1,1,0,95000
6,720,2,624,720,1,7,1,0,1,1,0,105900
6,1595,1,940,1192,1,6,1,0,1,1,0,140000
6,1200,2,1200,1200,2,12,0,0,0,0,0,177500
6,1167,2,1158,1167,2,17,1,0,0,0,0,173000
5,1142,2,1142,1142,1,31,1,0,1,0,0,134000
5,1352,1,1062,1352,1,48,1,0,0,1,0,130000
8,1924,2,1086,1086,2,8,0,0,0,0,0,280000
6,912,2,888,912,1,29,1,0,1,0,0,156000
